ObservationDate,Country_Region,Province_State,Confirmed,Deaths,Recovered,Active
2020-01-23,Mexico,NA,0,0,0,0
2020-01-23,Brazil,NA,0,0,0,0
2020-01-23,Colombia,NA,0,0,0,0
2020-02-26,Brazil,NA,1,0,0,1
2020-02-26,Brazil,NA,1,0,0,1
2020-02-26,Brazil,NA,1,0,0,1
2020-02-28,Mexico,NA,1,0,0,1
2020-02-29,Mexico,NA,4,0,0,4
2020-02-29,Brazil,NA,2,0,0,2
2020-02-29,Brazil,NA,2,0,0,2
2020-02-29,Brazil,NA,2,0,0,2
2020-02-29,Brazil,NA,2,0,0,2
2020-03-01,Ecuador,NA,6,0,0,6
2020-03-01,Mexico,NA,5,0,0,5
2020-03-01,Dominican Republic,NA,1,0,0,1
2020-03-01,Ecuador,NA,6,0,0,6
2020-03-01,Mexico,NA,5,0,0,5
2020-03-02,Dominican Republic,NA,1,0,0,1
2020-03-02,Dominican Republic,NA,1,0,0,1
2020-03-02,Dominican Republic,NA,1,0,0,1
2020-03-02,Dominican Republic,NA,1,0,0,1
2020-03-03,Ecuador,NA,7,0,0,7
2020-03-03,Mexico,NA,5,0,1,4
2020-03-03,Argentina,NA,1,0,0,1
2020-03-03,Chile,NA,1,0,0,1
2020-03-03,Mexico,NA,5,0,1,4
2020-03-03,Mexico,NA,5,0,1,4
2020-03-04,Ecuador,NA,10,0,0,10
2020-03-04,Brazil,NA,4,0,0,4
2020-03-04,Saint Barthelemy,NA,3,0,0,3
2020-03-04,Argentina,NA,1,0,0,1
2020-03-04,Chile,NA,1,0,0,1
2020-03-04,Brazil,NA,4,0,0,4
2020-03-04,Saint Barthelemy,NA,3,0,0,3
2020-03-04,Argentina,NA,1,0,0,1
2020-03-04,Saint Barthelemy,NA,3,0,0,3
2020-03-04,Saint Barthelemy,NA,3,0,0,3
2020-03-04,Saint Barthelemy,NA,3,0,0,3
2020-03-05,Ecuador,NA,13,0,0,13
2020-03-05,Chile,NA,4,0,0,4
2020-03-05,Ecuador,NA,13,0,0,13
2020-03-05,Chile,NA,4,0,0,4
2020-03-05,Ecuador,NA,13,0,0,13
2020-03-05,Chile,NA,4,0,0,4
2020-03-06,Brazil,NA,13,0,0,13
2020-03-06,Mexico,NA,6,0,1,5
2020-03-06,Argentina,NA,2,0,0,2
2020-03-06,Dominican Republic,NA,2,0,0,2
2020-03-06,Colombia,NA,1,0,0,1
2020-03-06,Costa Rica,NA,1,0,0,1
2020-03-06,Peru,NA,1,0,0,1
2020-03-06,Brazil,NA,13,0,0,13
2020-03-06,Mexico,NA,6,0,1,5
2020-03-06,Dominican Republic,NA,2,0,0,2
2020-03-06,Peru,NA,1,0,0,1
2020-03-07,Argentina,NA,8,0,0,8
2020-03-07,French Guiana,NA,5,0,0,5
2020-03-07,Martinique,NA,2,0,0,2
2020-03-07,Colombia,NA,1,0,0,1
2020-03-07,Costa Rica,NA,1,0,0,1
2020-03-07,French Guiana,NA,5,0,0,5
2020-03-07,Martinique,NA,2,0,0,2
2020-03-07,Colombia,NA,1,0,0,1
2020-03-07,French Guiana,NA,5,0,0,5
2020-03-07,Martinique,NA,2,0,0,2
2020-03-07,Colombia,NA,1,0,0,1
2020-03-07,French Guiana,NA,5,0,0,5
2020-03-07,Martinique,NA,2,0,0,2
2020-03-07,French Guiana,NA,5,0,0,5
2020-03-07,French Guiana,NA,5,0,0,5
2020-03-07,French Guiana,NA,5,0,0,5
2020-03-08,Brazil,NA,20,0,0,20
2020-03-08,Ecuador,NA,14,0,0,14
2020-03-08,Argentina,NA,12,1,0,11
2020-03-08,Chile,NA,8,0,0,8
2020-03-08,Mexico,NA,7,0,1,6
2020-03-08,Peru,NA,6,0,0,6
2020-03-08,Costa Rica,NA,5,0,0,5
2020-03-08,Dominican Republic,NA,5,0,0,5
2020-03-08,Paraguay,NA,1,0,0,1
2020-03-08,Argentina,NA,12,1,0,11
2020-03-08,Chile,NA,8,0,0,8
2020-03-08,Mexico,NA,7,0,1,6
2020-03-08,Dominican Republic,NA,5,0,0,5
2020-03-08,Paraguay,NA,1,0,0,1
2020-03-08,Dominican Republic,NA,5,0,0,5
2020-03-08,Paraguay,NA,1,0,0,1
2020-03-08,Dominican Republic,NA,5,0,0,5
2020-03-08,Dominican Republic,NA,5,0,0,5
2020-03-09,Brazil,NA,25,0,0,25
2020-03-09,Ecuador,NA,15,0,0,15
2020-03-09,Costa Rica,NA,9,0,0,9
2020-03-09,Peru,NA,7,0,0,7
2020-03-09,Saint Barthelemy,NA,1,0,0,1
2020-03-09,Ecuador,NA,15,0,0,15
2020-03-09,Costa Rica,NA,9,0,0,9
2020-03-09,Saint Barthelemy,NA,1,0,0,1
2020-03-10,Brazil,NA,31,0,0,31
2020-03-10,Argentina,NA,17,1,0,16
